image,healthy,scab,frog_eye_leaf_spot,rust,complex,powdery_mildew
800113bb65efe69e.jpg,1,0,0,0,0,0
8002cb321f8bfcdf.jpg,0,1,1,0,1,0
80070f7fb5e2ccaa.jpg,0,1,0,0,0,0
80077517781fb94f.jpg,0,1,0,0,0,0
800cbf0ff87721f8.jpg,0,0,0,0,1,0
800edef467d27c15.jpg,1,0,0,0,0,0
800f85dc5f407aef.jpg,0,0,0,1,0,0
801d6dcd96e48ebc.jpg,1,0,0,0,0,0
801f78399a44e7af.jpg,0,0,0,0,1,0
8021b94d437eb7d3.jpg,1,0,0,0,0,0
802291cee9fec9f4.jpg,0,0,0,0,1,0
80230a9a3f7a9f6b.jpg,0,1,0,0,0,0
8023c3f31f875b6c.jpg,1,0,0,0,0,0
80261f473eafb92c.jpg,0,1,0,0,0,0
80273091d9e9bddb.jpg,0,0,1,0,0,0
802962dc3ecdbb8d.jpg,0,1,0,0,0,0
802969daaddbbc8c.jpg,0,1,0,0,0,0
802b34badefa2ed0.jpg,0,1,0,0,0,0
802b59956a7aa5e7.jpg,1,0,0,0,0,0
802f4bbd295063fe.jpg,0,1,0,0,0,0
802f7439ec1ef0cd.jpg,0,0,0,0,0,1
8030a3a79fca6abb.jpg,0,0,0,1,0,0
803270d4d78faeba.jpg,0,1,0,0,0,0
8032d2eafa45f1ec.jpg,0,1,0,0,0,0
80331e0efb74dd62.jpg,1,0,0,0,0,0
803553d5df59cac2.jpg,0,1,0,0,0,0
803b586d7db3ca16.jpg,0,0,0,1,0,0
803bcb65f486e39a.jpg,1,0,0,0,0,0
803e3bd17a16e65c.jpg,0,0,0,0,1,0
803e3e74737c314d.jpg,0,1,0,0,0,0
803e60cf3c64e1fe.jpg,1,0,0,0,0,0
803f621b4757e0af.jpg,0,0,1,0,0,0
803f658f8cc35ce3.jpg,0,1,0,0,0,0
803f899768b5b789.jpg,0,0,0,1,0,0
804a9db4c7daf436.jpg,0,1,0,0,0,0
804e1eda54919fbb.jpg,1,0,0,0,0,0
804e673e9ec3d12b.jpg,1,0,0,0,0,0
8052c7272b3b3f5c.jpg,0,0,0,0,1,0
8054952d7a8bacbf.jpg,0,0,0,0,1,0
80563fc5e3ca1b3c.jpg,0,0,0,0,0,1
805763bc63dc5ec8.jpg,1,0,0,0,0,0
805fac7a36ea178c.jpg,0,1,0,0,0,0
806878cdcb8df99a.jpg,0,1,1,0,1,0
806b46cce99acedc.jpg,0,0,1,0,0,0
806d7d0df8cae3c2.jpg,0,0,0,0,0,1
806f356a3f54872e.jpg,0,1,0,0,0,0
80707683b3df0f1b.jpg,1,0,0,0,0,0
8072861fcb8fb46d.jpg,0,0,1,0,0,0
80729ba9dd175cf0.jpg,0,0,1,0,0,0
8075fbf90600e5fa.jpg,0,0,0,0,0,1
80769797ce42f658.jpg,0,1,1,0,0,0
80782fca6a9f559c.jpg,0,1,0,0,0,0
80789c79f4d1a3d3.jpg,1,0,0,0,0,0
8079176b1b970bda.jpg,0,1,0,0,0,0
807947b90eb77856.jpg,0,0,0,1,0,0
807dcd0bd2b0b6b9.jpg,0,0,1,0,0,0
807f3b90f2a315da.jpg,0,0,1,0,0,0
8081cf8f63250ff7.jpg,0,0,0,0,1,0
80825b2e837f697d.jpg,1,0,0,0,0,0
8083e6ccd8d5dce3.jpg,0,0,1,0,0,0
8085373ad255b5af.jpg,0,1,0,0,0,0
8085d341ee57f03f.jpg,0,1,0,0,0,0
808734da3f595b59.jpg,0,0,1,0,1,0
808778b03ee7e92b.jpg,1,0,0,0,0,0
8087be2e6f41e25e.jpg,0,0,1,0,0,0
808990fd0a8f7f8f.jpg,0,1,0,0,0,0
808b6f258f76ac72.jpg,0,0,1,0,0,0
808c7cabba2f9572.jpg,0,0,0,1,0,0
808d2f39f597f406.jpg,0,0,0,0,0,1
808f606a2be5fa1f.jpg,0,1,0,0,0,0
808f87c54a5cbfa3.jpg,0,1,0,0,0,0
808f897fa9e2adb0.jpg,0,0,0,1,0,0
80903293f2f9f7f0.jpg,0,1,0,0,0,0
809106ca5fc7735f.jpg,0,0,0,0,1,0
809339deb2d6a50f.jpg,0,1,0,0,0,0
80933fcc6a673636.jpg,0,0,1,1,0,0
80939571de62d5b6.jpg,0,0,1,0,0,0
809495769b64f3b5.jpg,0,0,0,0,1,1
8095c68bf924ab77.jpg,0,0,1,0,0,0
8096787430575fcf.jpg,1,0,0,0,0,0
809795d79fc0991d.jpg,0,1,0,0,0,0
8099f06ff22eb915.jpg,0,0,1,0,0,0
809a1f3ddfe49e20.jpg,0,0,1,0,0,0
809c3fc2796fd84a.jpg,0,0,0,1,0,0
809cf0cbcf86271f.jpg,0,1,0,0,0,0
809e3fc0cbac7c59.jpg,1,0,0,0,0,0
809f7a96a508f43f.jpg,0,0,1,0,0,0
809f7a9f5af618a0.jpg,0,1,0,0,0,0
80a047cd9aa9fb4f.jpg,0,1,0,0,0,0
80a06ecffc53017f.jpg,0,0,1,0,0,0
80a13fcd9a4fb14b.jpg,1,0,0,0,0,0
80a23bcea7125a7f.jpg,0,1,0,0,0,0
80a2c93fd2d9655d.jpg,1,0,0,0,0,0
80a4c7f6ad9a55d8.jpg,1,0,0,0,0,0
80a5a17f5e48697d.jpg,1,0,0,0,0,0
80a63b53ff0b0bb1.jpg,0,0,0,0,1,0
80a6d5c08ae6e5bf.jpg,0,1,0,0,0,0
80a747d86ae9abe2.jpg,0,1,0,0,0,0
80a7cecb3616b633.jpg,1,0,0,0,0,0
80a874f5fb9295d8.jpg,0,1,0,0,0,0
80a9db3783f16366.jpg,0,0,0,0,1,0
80aa53172b9fc78d.jpg,1,0,0,0,0,0
80aaeaaa275d5e36.jpg,1,0,0,0,0,0
80abc9d697ec22b6.jpg,1,0,0,0,0,0
80acd65fd76ac8a4.jpg,0,1,0,0,0,0
80acda383e3367cd.jpg,1,0,0,0,0,0
80af5fce149ca4f4.jpg,1,0,0,0,0,0
80af63966d9272e9.jpg,1,0,0,0,0,0
80afa0c630faab7d.jpg,0,0,0,0,1,0
80b075dfc24bb725.jpg,1,0,0,0,0,0
80b0b0dacf697db4.jpg,1,0,0,0,0,0
80b0c5d6d7ce83dc.jpg,0,0,0,1,0,0
80b3a893ed3a2f3c.jpg,0,1,0,0,0,0
80b46aea80b7dead.jpg,0,0,1,0,0,0
80b4a4d8d2f2db5b.jpg,0,0,1,0,0,0
80b4b62f1232e6fb.jpg,0,0,1,0,0,0
80b6bbe5c17f098a.jpg,0,0,0,0,1,0
80ba65f7c2bc17d0.jpg,0,1,0,0,0,0
80bc2cd4f322babe.jpg,0,0,0,0,1,0
80bc7d353e163e85.jpg,0,0,0,0,0,1
80bcfd9f60f06307.jpg,0,0,0,0,0,1
80bf1f99964852fc.jpg,0,1,0,0,0,0
80bf21a07dfcf047.jpg,0,0,1,0,0,0
80bf2381975655d7.jpg,0,1,0,0,0,0
80bf2d68de485ad6.jpg,0,1,0,0,0,0
80bf683dd70c3fa0.jpg,0,1,0,0,0,0
80bf79836d86936c.jpg,0,0,1,0,0,0
80c190d95bf963f6.jpg,1,0,0,0,0,0
80c23fcf63786e70.jpg,1,0,0,0,0,0
80c43018ef70fef7.jpg,0,1,0,0,0,0
80c5d3895739ff50.jpg,0,1,0,0,0,0
80c61d6b492d76b7.jpg,1,0,0,0,0,0
80c8caceaf7e343a.jpg,0,0,1,0,0,0
80ca8fea677591d1.jpg,0,1,1,0,0,0
80cac5abcfa9c9b4.jpg,1,0,0,0,0,0
80ce88a60dfc33fb.jpg,0,0,1,0,0,0
80cf38907f9d631d.jpg,0,1,0,0,0,0
80cf78c9370bf22e.jpg,0,1,0,0,0,0
80cfef794308bf18.jpg,0,0,0,0,1,0
80d32f977a83d0ea.jpg,0,0,0,0,1,0
80d3d90ae89717fc.jpg,0,1,0,0,0,0
80d457877e3d1cb8.jpg,0,0,0,0,1,0
80d5d5567d2a2aab.jpg,0,0,1,0,0,0
80d72f999a956d86.jpg,1,0,0,0,0,0
80d76587b00f9d5e.jpg,0,1,1,0,0,0
80da389dc24f393f.jpg,0,0,0,1,0,0
80dcc12cc917ef5d.jpg,1,0,0,0,0,0
80dd5ee13c50b78d.jpg,0,1,0,0,0,0
80decb70b3295bb2.jpg,1,0,0,0,0,0
80df68fa0c30fd95.jpg,0,0,0,0,1,0
80e0699f1d1b373d.jpg,0,0,0,1,0,0
80e0754ad0ef1f1f.jpg,0,0,0,1,0,0
80e0debc5a9a635d.jpg,0,1,0,0,0,0
80e2c3d2afc9782f.jpg,1,0,0,0,0,0
80e39e21c97a3f87.jpg,0,1,0,0,0,0
80e72f5c4dfc58e0.jpg,0,1,0,0,0,0
80e73692da7da790.jpg,0,0,1,0,0,0
80e83fd5bf0f7028.jpg,0,1,0,0,0,0
80ea75af4276ad29.jpg,0,1,0,0,0,0
80eb625c157374f5.jpg,0,0,1,0,0,0
80eb96948bd68f9a.jpg,1,0,0,0,0,0
80ebf6c08f87413f.jpg,0,1,0,0,0,0
80ee3116d267bae3.jpg,0,0,0,0,1,0
80ef3f8fc2c0f1e0.jpg,0,1,1,0,0,0
80ef45b66491e3f8.jpg,0,1,0,0,0,0
80efccd95ab1256c.jpg,0,0,0,0,0,1
80f09587dfc7988e.jpg,0,0,0,1,0,0
80f16ecf7844c5b5.jpg,0,0,0,1,0,0
80f4549ce81eefe1.jpg,1,0,0,0,0,0
80f515f574cb609e.jpg,1,0,0,0,0,0
80f816d6cecb8b87.jpg,1,0,0,0,0,0
80f8cdc9854f756a.jpg,0,0,0,0,0,1
80fac59d5be8a0e5.jpg,0,0,0,0,1,0
80fb7d79f090434b.jpg,0,0,1,0,0,0
80fc1ee02d0b67eb.jpg,0,1,0,0,0,0
80fdcd4466543b79.jpg,0,0,1,0,0,0
80fe30e308cf2f9d.jpg,0,1,1,0,0,0
80ff66cd84241ef6.jpg,0,1,0,0,0,0
